symbol,start_time,end_time,label
b,2024-12-22T21:52:50,2024-12-22T21:52:50,high
c,2024-12-22T21:57:50,2024-12-22T22:32:50,normal
b,2024-12-22T22:37:51,2024-12-22T23:12:50,high
c,2024-12-22T23:17:50,2024-12-23T03:27:51,normal
b,2024-12-23T03:32:50,2024-12-23T04:37:50,high
a,2024-12-23T04:42:51,2024-12-23T08:02:50,extremely_high
b,2024-12-23T08:07:51,2024-12-23T08:07:51,high
a,2024-12-23T08:12:51,2024-12-23T08:17:51,extremely_high
b,2024-12-23T08:22:51,2024-12-23T09:02:51,high
c,2024-12-23T09:07:51,2024-12-23T13:47:52,normal
b,2024-12-23T13:52:51,2024-12-23T14:02:51,high
c,2024-12-23T14:07:52,2024-12-23T18:32:52,normal
b,2024-12-23T18:37:52,2024-12-23T19:07:52,high
c,2024-12-23T19:12:52,2024-12-23T19:27:52,normal
b,2024-12-23T19:32:52,2024-12-23T20:42:51,high
c,2024-12-23T20:47:52,2024-12-24T00:27:52,normal
b,2024-12-24T00:32:52,2024-12-24T00:37:52,high
c,2024-12-24T00:42:52,2024-12-24T00:42:52,normal
b,2024-12-24T00:47:52,2024-12-24T00:52:52,high
c,2024-12-24T00:57:52,2024-12-24T04:52:53,normal
b,2024-12-24T04:57:52,2024-12-24T04:57:52,high
c,2024-12-24T05:02:52,2024-12-24T05:02:52,normal
b,2024-12-24T05:07:52,2024-12-24T05:12:52,high
c,2024-12-24T05:17:52,2024-12-24T05:17:52,normal
b,2024-12-24T05:22:52,2024-12-24T05:37:52,high
c,2024-12-24T05:42:52,2024-12-24T16:27:53,normal
b,2024-12-24T16:32:53,2024-12-24T17:22:53,high
c,2024-12-24T17:27:53,2024-12-24T18:32:54,normal
b,2024-12-24T18:37:53,2024-12-24T18:47:53,high
a,2024-12-24T18:52:53,2024-12-24T19:22:53,extremely_high
b,2024-12-24T19:27:53,2024-12-24T20:37:53,high
c,2024-12-24T20:42:53,2024-12-24T22:32:53,normal
b,2024-12-24T22:37:53,2024-12-24T22:42:54,high
c,2024-12-24T22:47:54,2024-12-24T22:47:54,normal
b,2024-12-24T22:52:53,2024-12-24T22:52:53,high
c,2024-12-24T22:57:53,2024-12-24T22:57:53,normal
b,2024-12-24T23:02:53,2024-12-24T23:37:53,high
